BAIdentifier,BALegalName,BAAddress,BAPhoneNumber,BACorporateStatus,BACorporateStatusEffectiveDate,AmalgamatedIntoBAID,AmalgamatedIntoBALegalName,BAAmalgamationEstablishedDate,BALicenceEligibilityType,BALicenceEligibiltyDesc,BAAbbreviatedName
0018,KERR-MCGEE CANADA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0AD1,BRAE CANADA LTD.,2002-10-31,01,Not Eligible,
0019,TALISMAN ENERGY INC,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1989-01-01,0158,TALISMAN ENERGY INC.,2002-10-31,01,Not Eligible,
0020,SUNOMA ENERGY CORP,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0G31,SUNOMA ENERGY CORP.,2002-10-31,01,Not Eligible,
0021,NORTHWESTERN UTILITIES LIMITED,400-909 11 Ave SW    Calgary AB CA T2R 1L7,403-245-7492,STRUCK,2006-05-02,,,,03,Limited Eligibility,Northwestern Uti
0022,ROTHWELL OIL LIMITED,PO BOX 1920 STATION M    CALGARY AB CA T2P 2M2,206-953-8994,ACTIVE,2002-10-01,,,,03,Limited Eligibility,ROTHWELL
0023,DUNBAR OIL LTD,202 6 AVE SW SUITE 1050    CALGARY AB CA T2P 2R9,999-999-9999,STRUCK,1995-12-20,,,,03,Limited Eligibility,DUNBAR OIL LTD
0024,TWIN RICHFIELD OILS LTD,255 5 AVE SW SUITE 2400    CALGARY AB CA T2P 3G6,999-999-9999,STRUCK,1994-02-01,,,,01,Not Eligible,TWIN RICHFIELD
0025,EXXONMOBIL RESOURCES LTD.,237 4 AVE SW PO BOX 800   CALGARY AB CA T2P 2J7,403-237-3737,AMALGAMATED,2004-02-23,A0NG,EXXONMOBIL CANADA RESOURCES COMPANY,2004-05-31,01,Not Eligible,EXXONMOBIL RES L
0026,OVINTIV CANADA ULC,500 CENTRE ST SE PO BOX 2850   CALGARY AB CA T2P 2S5,403-645-5567,ACTIVE,1984-12-01,,,,02,General Eligibility,OVV
0027,HARRY BASS DRILLING COMPANY,800-444 5 Ave SW    Calgary AB CA T2P 2T8,999-999-9999,STRUCK,1961-03-15,,,,03,Limited Eligibility,HARRY BASS DRI
0028,CHEVRON CANADA PROPERTIES LIMITED,500 5 AVE SW    CALGARY AB CA T2P 0L7,403-787-7600,ACTIVE,1984-12-01,,,,03,Limited Eligibility,UNOCAL CAN LTD
0029,ANADARKO CANADA CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0031,ANADARKO CANADA CORPORATION,2002-10-31,01,Not Eligible,
002B,OLD DUTCH FOODS LTD.,100 Bentall St    Winnipeg MB CA R2X 2Y5,999-999-9999,ACTIVE,2002-10-01,,,,01,Not Eligible,OLD DUTCH
0030,WELL OPERATORS LIMITED,111 WOODHAVEN SW    CALGARY AB CA T2W 5N8,999-999-9999,DISSOLUTION/DISSOLVED,2010-04-01,,,,01,Not Eligible,WELL OPERATORS
0031,ANADARKO CANADA CORPORATION,425 1 ST SW PO BOX 2595 STN M   CALGARY AB CA T2P 4V4,403-231-0111,AMALGAMATED,2006-11-03,A2D4,ACC-CNR RESOURCES CORPORATION,2006-12-31,01,Not Eligible,ANADARKO CANAD
0032,KENSO ENTERPRISES LTD,5223 Marlborough Dr NE    Calgary AB CA T2A 2Z8,999-999-9999,STRUCK,2000-12-02,,,,03,Limited Eligibility,KENSO ENTERP
0033,HAMILTON BROTHERS CANADIAN GAS COMPANY LTD.,1560 BROADWAY SUITE 2200    DENVER CO US 80202,303-863-3000,ACTIVE,2014-01-20,,,,02,General Eligibility,HAMILTON BROS
0034,MITCHELL & ASSOCIATES LTD,14 Alexander Cir NW    Edmonton AB CA T5N 1Z9,999-999-9999,STRUCK,2002-11-02,,,,03,Limited Eligibility,MITCHELL&ASSOC
0035,RANGER OIL LIMITED,855 2 ST SW SUITE 2500 BOX 6926 STN D   CALGARY AB CA T2P 2G1,999-999-9999,AMALGAMATED,2000-10-01,0HE9,CANADIAN NATURAL RESOURCES LIMITED,2002-10-31,01,Not Eligible,
0036,LEGAL OIL & GAS LTD.,10180 101 ST SUITE 680    EDMONTON AB CA T5J 3S4,999-999-9999,STRUCK,2003-08-02,,,,03,Limited Eligibility,LEGAL O&G
0037,SHELL CANADA LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0T03,SHELL CANADA LIMITED,2002-10-31,01,Not Eligible,
0038,BP CANADA ENERGY RESOURCES COMPANY,9945 108 ST    EDMONTON AB CA T5K 2G6,403-509-8240,AMALGAMATED,1989-05-01,0060,BP CANADA ENERGY COMPANY ULC,2002-10-31,01,Not Eligible,
0039,REPSOL OIL & GAS CANADA INC.,300-600 3 Ave SW    Calgary AB CA T2P 0G5,403-237-1234,STRUCK,2023-11-30,,,,02,General Eligibility,ROGCI
0040,SULPETRO LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1994-04-01,,,,01,Not Eligible,
0042,GULF CANADA LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0002,GULF CANADA LIMITED,2002-10-31,01,Not Eligible,
0043,PETRO-CANADA,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0246,PETRO-CANADA,2002-10-31,01,Not Eligible,
0044,MARCY JAMES M. ,6642 Muirlands Dr    La Jolla CA US 92037-6313,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,"MARCY, JAMES M"
0045,CHEVRON CANADA LIMITED,500 5 AVE SW    CALGARY AB CA T2P 0L7,403-863-7743,ACTIVE,1984-12-01,,,,02,General Eligibility,CHEVRON
0046,SHELL CANADA LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0T03,SHELL CANADA LIMITED,2002-10-31,01,Not Eligible,
0047,BP CANADA ENERGY RESOURCES COMPANY,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0LF3,BP CANADA ENERGY RESOURCES COMPANY,2002-10-31,01,Not Eligible,
0048,PETRO-CANADA ENTERPRISES INC,PO BOX 2844    CALGARY AB CA T2P 3E3,999-999-9999,STRUCK,1984-08-01,,,,01,Not Eligible,PETRO-CAN ENTR
0049,KENTING LIMITED,2200-800 5 Ave SW    Calgary AB CA T2P 3T6,999-999-9999,STRUCK,1997-04-29,,,,03,Limited Eligibility,KENTING LTD
004B,FALHER ALFALFA LTD.,801 6 AVE SW FLOOR 6    CALGARY AB CA T2P 3W2,999-999-9999,STRUCK,2009-11-02,,,,01,Not Eligible,FALHER ALFALFA
0050,ANADARKO CANADA CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0031,ANADARKO CANADA CORPORATION,2002-10-31,01,Not Eligible,
0051,ALBERTA ENERGY COMPANY LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0R61,ALBERTA ENERGY COMPANY LTD.,2002-10-31,01,Not Eligible,
0053,INTER-CITY GAS CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0059,INTER-CITY GAS CORPORATION,2002-10-31,01,Not Eligible,
0054,SUNCOR ENERGY INC.,150 6 AVE SW PO BOX 2844   CALGARY AB CA T2P 3E3,403-269-8100,ACTIVE,1984-12-01,,,,02,General Eligibility,SUNCOR
0055,TECK CORPORATION,200 BURRARD ST SUITE 600    VANCOUVER BC CA V6C 3L9,999-999-9999,STRUCK,1997-03-13,,,,03,Limited Eligibility,TECK CORP
0056,BP CANADA ENERGY RESOURCES COMPANY,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0LF3,BP CANADA ENERGY RESOURCES COMPANY,2002-10-31,01,Not Eligible,
0057,EXXONMOBIL CANADA LTD.,505 QUARRY PARK BLVD SE PO BOX 2480 STATION M   CALGARY AB CA T2P 3M9,403-237-3737,ACTIVE,2003-09-02,,,,02,General Eligibility,EXXONMOBIL CAN
0058,IMPERIAL OIL RESOURCES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0007,IMPERIAL OIL RESOURCES LIMITED,2002-10-31,01,Not Eligible,
0059,INTER-CITY GAS CORPORATION,444 ST MARY AVE SUITE 500    WINNIPEG MB CA R3C 3T7,999-999-9999,STRUCK,1992-07-01,,,,03,Limited Eligibility,ICG CORP
0060,BP CANADA ENERGY COMPANY ULC,PO BOX 200 STN M    CALGARY AB CA T2P 2H8,403-233-1313,AMALGAMATED,2012-04-02,A31G,PLAINS MIDSTREAM CANADA ULC,2012-10-31,01,Not Eligible,BP CANADA ENER
0061,APACHE CORPORATION,2800-421 7 Ave SW    Calgary AB CA T2P 4K9,403-531-8142,STRUCK,2021-06-15,,,,03,Limited Eligibility,APACHE CORP
0062,NEXEN INC,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0226,NEXEN ENERGY ULC,2002-10-31,01,Not Eligible,
0063,MURPHY OIL COMPANY LTD.,855 2 ST SW  SUITE 4500    CALGARY AB CA T2P 4K7,403-294-8000,ACTIVE,1984-12-01,,,,02,General Eligibility,MURPHY
0064,MUSKETEER ENERGY LTD,240 4 AVE SW PO BOX 200   CALGARY AB CA T2P 2H8,999-999-9999,AMALGAMATED,1989-01-01,0005,BP CANADA ENERGY RESOURCES COMPANY,2002-10-31,01,Not Eligible,
0065,LATIMER J.S. ,RR 5    EDMONTON AB CA T5P 4B7,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,"LATIMER, J.S."
0066,CLEARPORT HOLDINGS LTD.,4511 14A St SW    Calgary AB CA T2T 3Y4,999-999-9999,STRUCK,2011-01-02,,,,03,Limited Eligibility,CLEARPORT HOLD
0067,FOSCA OIL CO LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,ACTIVE,2002-10-01,,,,03,Limited Eligibility,
0069,J. M. HUBER CORPORATION,700 9 AVE SW SUITE 500    CALGARY AB CA T2P 3V4,999-999-9999,STRUCK,1997-07-01,,,,03,Limited Eligibility,JM HUBER CORP
0070,TEXAS CRUDE OIL COMPANY,303 Silvergrove Dr NW    Calgary AB CA T3B 4M4,403-808-3571,ACTIVE,1984-12-01,,,,03,Limited Eligibility,TEXAS CRUDE
0071,CANADIAN RESERVE OIL AND GAS LTD.,505 QUARRY PARK BLVD SE PO BOX 2480 STN M   CALGARY AB CA T2C 5N1,403-237-3737,ACTIVE,1984-12-01,,,,03,Limited Eligibility,CDN RES O&G
0073,STONE PETROLEUMS LTD.,98 ASPEN RIDGE HEIGHTS SW    CALGARY AB CA T3H 1V2,403-262-4572,ACTIVE,1992-01-01,,,,01,Not Eligible,STONE PETRO
0074,CYNTHIA GAS GATHERING COMPANY LIMITED,525 8 AVE SW SUITE 3800    CALGARY AB CA T2P 1G1,999-999-9999,DISSOLUTION/DISSOLVED,2016-09-29,,,,03,Limited Eligibility,CYNTHIA GAS
0075,DEVONIAN NATURAL GAS COMPANY LIMITED,11160 JASPER AVE NW    EDMONTON AB CA T5K 0L1,999-999-9999,STRUCK,1971-07-15,,,,01,Not Eligible,DEVONIAN NGAS
0076,ANADARKO CANADA CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0031,ANADARKO CANADA CORPORATION,2002-10-31,01,Not Eligible,
0077,NORTH AMERICAN CHEMICALS LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1968-09-15,,,,01,Not Eligible,
0078,NORTHWESTERN UTILITIES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1993-01-01,0021,NORTHWESTERN UTILITIES LIMITED,2002-10-31,01,Not Eligible,
0079,WIDNEY WELL SERVICING LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0XC0,WIDNEY WELL SERVICING LTD,2002-10-31,01,Not Eligible,
0080,AUSQUACAN ENERGY LIMITED,PETRO CANADA CENTRE W TOWER 150 6 AVE SW SUITE 4700   CALGARY AB CA T2P 3Y7,999-999-9999,STRUCK,1995-11-23,,,,03,Limited Eligibility,AUSQUACAN ENGY
0081,IMPERIAL OIL RESOURCES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0007,IMPERIAL OIL RESOURCES LIMITED,2002-10-31,01,Not Eligible,
0083,ACHESON-EAST OIL & GAS CO LTD.,10305 97 ST    EDMONTON AB CA T5J 0M1,999-999-9999,STRUCK,2009-05-02,,,,03,Limited Eligibility,ACHESON-EAST
0084,MID-WEST GAS TRANSMISSION LTD,PO BOX 2595 STN M    CALGARY AB CA T2P 4V4,999-999-9999,AMALGAMATED,1995-01-26,0618,MID-WEST GAS TRANSMISSION LTD,2002-10-31,01,Not Eligible,
0085,OVAL NATURAL GAS COMPANY LIMITED,505 QUARRY PARK BLVD SE PO BOX 2480 STN M   CALGARY AB CA T2P 3M9,999-999-9999,STRUCK,1975-10-31,,,,03,Limited Eligibility,OVAL NTRL GAS
0086,HUSKY OIL OPERATIONS LIMITED,225 6 AVE SW PO BOX 766   CALGARY AB CA T2P 0M5,403-750-1629,AMALGAMATED,2002-10-01,0R46,HUSKY OIL OPERATIONS LIMITED,2002-10-31,01,Not Eligible,
0087,ATLAS WELL OPERATORS LIMITED,ROYAL CENTRE SUITE 3000 1055 WEST GEORGIA ST   VANCOUVER BC CA V6E 3R3,999-999-9999,STRUCK,2010-03-17,,,,01,Not Eligible,ATLAS WELL
0089,CANADIAN PROPANE GAS & OIL OF ALBERTA LTD,444 ST MARY AVE    WINNIPEG MB CA R3C 3T7,999-999-9999,LIQUIDATION,2002-10-01,,,,02,General Eligibility,CDN PROP G&O
0090,NUFIELD OPERATORS LTD,320 9 AVE SW    CALGARY AB CA T2P 1K6,999-999-9999,STRUCK,1974-07-15,,,,03,Limited Eligibility,NUFIELD OPER
0091,NELCALREDA OILS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1968-11-30,,,,03,Limited Eligibility,
0092,OIL CITY PETROLEUMS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,OIL CITY PETRO
0093,IRETON PETROLEUMS LTD,11104 107 Ave NW    Edmonton AB CA T5H 0X8,999-999-9999,STRUCK,1982-11-30,,,,03,Limited Eligibility,IRETON PETRO
0094,CANTERRA ENERGY LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0L73,CANTERRA ENERGY LTD.,2002-10-31,01,Not Eligible,
0095,PETROGAS PROCESSING LTD,1500-635 8 Ave SW    Calgary AB CA T2P 3M3,999-999-9999,STRUCK,1995-10-01,,,,01,Not Eligible,PETROGAS PROC
0096,RIGEL OIL & GAS LTD.,BOW VALLEY SQ 3 255 5 AVE SW SUITE 1900   CALGARY AB CA T2P 3G6,403-237-1739,AMALGAMATED,1999-10-01,0039,REPSOL OIL & GAS CANADA INC.,2002-10-31,01,Not Eligible,
0097,SARATOGA PROCESSING COMPANY LIMITED,PO Box 460    Coleman AB CA T0K 0M0,999-999-9999,STRUCK,1999-03-13,,,,01,Not Eligible,SARATOGA PROC
0098,BURLINGTON RESOURCES CANADA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0BL1,CONOCOPHILLIPS CANADA (BRC) LTD.,2002-10-31,01,Not Eligible,
0099,ASAMERA INC,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1998-09-01,0AJ3,ARWAVES RESOURCES LTD,2002-10-31,01,Not Eligible,
009B,C.M.A. PETROLEUMS & MINERALS LTD,801 6 AVE SW FLOOR 6    CALGARY AB CA T2P 3W2,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,C.M.A. PETROLE
0100,MADISON OIL COMPANY,9400 N Central Expy Ste 1209    Dallas TX US 75231-5045,999-999-9999,STRUCK,2003-05-02,,,,03,Limited Eligibility,MADISON OIL
0101,CORONADO CONSULTANTS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1982-01-29,,,,03,Limited Eligibility,CORONADO CONS
0102,CANADIAN PROPANE GAS & OIL OF ALBERTA LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0089,CANADIAN PROPANE GAS & OIL OF ALBERTA LTD,2002-10-31,01,Not Eligible,
0103,ENGINEERING SPECIIAL TIES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1990-04-19,,,,03,Limited Eligibility,
0104,NATIONAL PETROLEUM CORPORATION LIMITED,1611 Bear Springs Rd    Pipe Creek TX US 78063-5354,999-999-9999,STRUCK,2002-06-02,,,,03,Limited Eligibility,NATIONAL PETRO
0105,TRIAD OIL MANITOBA LTD,3400-888 3 St SW    Calgary AB CA T2P 5C5,999-999-9999,STRUCK,2024-02-22,,,,03,Limited Eligibility,TRIAD OIL MAN.
0106,ATCO LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0P10,ATCO LTD,2002-10-31,01,Not Eligible,
0107,MID-WEST GAS TRANSMISSION LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0618,MID-WEST GAS TRANSMISSION LTD,2002-10-31,01,Not Eligible,
0108,MALONEY-CRAWFORD MANUFACTURING CO. LTD,310 9 AVE SW    CALGARY AB CA T2P 1K4,999-999-9999,STRUCK,1980-06-14,,,,03,Limited Eligibility,
0109,RANCHMEN'S RESOURCES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0R63,RANCHMEN'S RESOURCES LTD.,2002-10-31,01,Not Eligible,
0110,OFC HOLDINGS LTD,11104 107 AVE    EDMONTON AB CA T5H 0X8,999-999-9999,STRUCK,1988-09-01,,,,01,Not Eligible,OFC HOLDINGS
0111,HIS MAJESTY THE KING IN RIGHT OF CANADA AS REPRESENTED HEREIN BY THE MINISTER OF NATIONAL DEFENCE,CANADIAN FORCES BASE SUFFIELD PO BOX 6000 STN MAIN   MEDICINE HAT AB CA T1A 8K8,403-544-4882,NON REGISTERED,1994-01-01,,,,03,Limited Eligibility,DEPT  DEFENCE
0112,SUFFIELD GAS DISTRIBUTION SYSTEM,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,ACTIVE,2002-10-01,,,,03,Limited Eligibility,
0113,CANTERRA ENERGY LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0L73,CANTERRA ENERGY LTD.,2002-10-31,01,Not Eligible,
0115,EDMONTON LIQUID GAS LIMITED,333 7 Ave SW    Calgary AB CA T2P 2Z1,999-999-9999,STRUCK,1985-06-01,,,,03,Limited Eligibility,EDM LIQ GAS
0116,RAMPART RESOURCES LTD,333 7 AVE SW SUITE 1204    CALGARY AB CA T2P 2Z1,999-999-9999,STRUCK,1992-12-31,,,,03,Limited Eligibility,RAMPART RESOUR
0117,CONSOLIDATED BONNYVILLE LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0A35,CONSOLIDATED BONNYVILLE LIMITED,2002-10-31,01,Not Eligible,
0118,CRETACEOUS PIPELINES LTD,1800-255 5 Ave SW    Calgary AB CA T2P 3G6,999-999-9999,STRUCK,2002-10-01,,,,01,Not Eligible,CRETACEOUS PPL
0119,NORTHLAND UTILITIES LIMITED,10042 109 ST NW    EDMONTON AB CA T5J 1M1,999-999-9999,STRUCK,1985-07-01,,,,03,Limited Eligibility,
0120,MONTEREY PETROLEUM CORPORATION (1971) LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1981-04-30,,,,03,Limited Eligibility,
0121,REDWATER UTILITIES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1977-01-31,,,,03,Limited Eligibility,
0122,I.XL INDUSTRIES LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0649,I.XL INDUSTRIES LTD.,2002-10-31,01,Not Eligible,
0123,SOUTH ALBERTA PIPE LINES LTD,PO BOX 1948    CALGARY AB CA T2P 2M2,999-999-9999,STRUCK,1984-11-30,,,,01,Not Eligible,SOUTH AB PPL
0124,WAINWRIGHT GAS CO. LIMITED,1014 2 AVE    WAINWRIGHT AB CA T0B 4P0,999-999-9999,STRUCK,1977-08-31,,,,01,Not Eligible,WAINWRGHT GAS
0125,"SOUTHEASTERN DRILLING, INC",9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0NP9,SOUTHEASTERN DRILLING INC,2002-10-31,01,Not Eligible,
0126,STURGEON PETROLEUMS LTD,"1620, 840 7 AVE SW    CALGARY AB CA T2P 3G2",999-999-9999,DISSOLUTION/DISSOLVED,1994-09-27,,,,03,Limited Eligibility,
0127,ANADARKO CANADA CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0031,ANADARKO CANADA CORPORATION,2002-10-31,01,Not Eligible,
0128,LAC LA BICHE COUNTY,13422 HWY 881 PO BOX 1679   LAC LA BICHE AB CA T0A 2C0,780-623-4323,NON REGISTERED,1994-01-01,,,,03,Limited Eligibility,TOWNLACLABICHE
0129,THE VALLEY GAS COMPANY LIMITED,65-203 LYNNVIEW RD SE    CALGARY AB CA T2C 2C6,999-999-9999,DISSOLUTION/DISSOLVED,2007-01-12,,,,01,Not Eligible,VALLEY GAS CO
0130,MILK RIVER GAS COMPANY LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1985-03-01,,,,01,Not Eligible,
0131,"DEVON, TOWN OF",1 COLUMBIA AVE WEST    DEVON AB CA T9G 1A1,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,TOWN OF DEVON
0132,"COUTTS, VILLAGE OF",PO Box 236    Coutts AB CA T0K 0N0,999-999-9999,NON REGISTERED,2002-10-01,,,,01,Not Eligible,VILLAGE OF COU
0133,NOVA GAS TRANSMISSION LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0TB3,NOVA GAS TRANSMISSION LTD.,2002-10-31,01,Not Eligible,
0134,PEACE RIVER TRANSMISSION COMPANY LIMITED,1066 W HASTINGS ST PO BOX 12503   VANCOUVER BC CA V6E 3G3,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,
0135,WESTCOAST TRANSMISSION COMPANY (ALBERTA) LTD.,"1050 WEST GEORGIA, SUITE 1100 PO BOX 11162   VANCOUVER BC CA V6E 3R5",403-699-1639,DISSOLUTION/DISSOLVED,2011-04-18,,,,03,Limited Eligibility,WSTCOAST TRNSM
0136,IMPERIAL OIL RESOURCES VENTURES LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0JZ2,IMPERIAL OIL RESOURCES VENTURES LIMITED,2002-10-31,01,Not Eligible,
0137,STERLING ROYALTIES LIMITED,OIL ROYALTIES DEPARTMENT 530 8 AVE SW SUITE 700   CALGARY AB CA T2P 3S8,999-999-9999,STRUCK,1981-11-30,,,,01,Not Eligible,STERLING ROY
0139,CENTURY ROYALTIES LIMITED,530 8 AVE SW FLOOR7    CALGARY AB CA T2P 3S8,999-999-9999,STRUCK,1981-04-30,,,,03,Limited Eligibility,CENTURY ROYALT
0140,MADISON NATURAL GAS COMPANY LIMITED,PO BOX 1948    CALGARY AB CA T2P 2M7,999-999-9999,STRUCK,1993-03-16,,,,01,Not Eligible,MADISN NTL GAS
